rank1,rank2,rank3,rank4,rank5,rank6,rank7
CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,skipped
TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,DAVID LAURET
G. TYCE FLAKE,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON,G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,KEITH KUDER
TAY GUDMUNDSON,G. TYCE FLAKE,DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,skipped,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,skipped,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER
G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,TAY GUDMUNDSON,CRISTY WELSH,DAVID LAURET,skipped,skipped
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,CRISTY WELSH,KEITH KUDER
DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,skipped
ANTHONY JENKINS,CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ
ANTHONY JENKINS,CRISTY WELSH,KEITH KUDER,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,TAY GUDMUNDSON,ANTHONY JENKINS
G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,skipped
G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,skipped
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,TAY GUDMUNDSON,KEITH KUDER
KEITH KUDER,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS
G. TYCE FLAKE,DAVID LAURET,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped,skipped
ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER
KEITH KUDER,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET
DAVID LAURET,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,TAY GUDMUNDSON,skipped,skipped,skipped
KEITH KUDER,G. TYCE FLAKE,TAY GUDMUNDSON,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,KEITH KUDER
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS
skipped,skipped,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,DAVID LAURET
TAY GUDMUNDSON,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,ANTHONY JENKINS,KEITH KUDER
TAY GUDMUNDSON,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER
ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER
skipped,skipped,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,TAY GUDMUNDSON
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER,skipped,skipped,skipped,skipped
KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,TAY GUDMUNDSON
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,skipped
HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,skipped,skipped
DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,DAVID LAURET,TAY GUDMUNDSON,ANTHONY JENKINS,G. TYCE FLAKE
G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,CRISTY WELSH,ANTHONY JENKINS,KEITH KUDER
KEITH KUDER,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,skipped,skipped
ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,KEITH KUDER
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE
CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,skipped,skipped
KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON
G. TYCE FLAKE,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped
G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,KEITH KUDER,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON
G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET
skipped,skipped,skipped,skipped,skipped,skipped,skipped
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,G. TYCE FLAKE,skipped,skipped,skipped,skipped
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped
ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,skipped,skipped
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER
G. TYCE FLAKE,DAVID LAURET,KEITH KUDER,TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER,TAY GUDMUNDSON
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,KEITH KUDER,TAY GUDMUNDSON,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER,skipped,skipped,skipped,skipped
G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,DAVID LAURET
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,skipped,skipped
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,TAY GUDMUNDSON,skipped,skipped
KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS
TAY GUDMUNDSON,skipped,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,CRISTY WELSH
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,CRISTY WELSH
G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,CRISTY WELSH
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,TAY GUDMUNDSON,CRISTY WELSH
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,KEITH KUDER
G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,skipped,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER
TAY GUDMUNDSON,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,skipped
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,skipped
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER
skipped,skipped,skipped,skipped,skipped,skipped,skipped
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,TAY GUDMUNDSON,skipped
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,G. TYCE FLAKE,DAVID LAURET
ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER
CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,G. TYCE FLAKE,KEITH KUDER,DAVID LAURET,HECTOR RAFAEL HERNANDEZ
DAVID LAURET,G. TYCE FLAKE,KEITH KUDER,TAY GUDMUNDSON,CRISTY WELSH,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ
KEITH KUDER,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,skipped,skipped,skipped
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS
KEITH KUDER,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped
CRISTY WELSH,G. TYCE FLAKE,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,skipped,skipped,skipped,skipped
ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,overvote,skipped
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
DAVID LAURET,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,KEITH KUDER,ANTHONY JENKINS
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped
G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON,ANTHONY JENKINS
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,KEITH KUDER
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,KEITH KUDER,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS
HECTOR RAFAEL HERNANDEZ,KEITH KUDER,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,ANTHONY JENKINS,G. TYCE FLAKE
G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET
G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,skipped,skipped
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,skipped
